1##1	سمو اله رحم رحم
2##89	جیا كتب عند اله صدق كون قبل فتح كفر جیا عرف كفر لعن اله كفر
2##90	باس شری نفس كفر نزل اله بغی نزل اله فضل شیا عبد بوا غضب غضب كفر عذب هون
2##91	قول امن نزل اله قول امن نزل كفر وری حقق صدق قول قتل نبا اله قبل كون امن
2##92	جیا بین اخذ عجل بعد ظلم
2##93	اخذ وثق رفع فوق طور اخذ اتی قوی سمع قول سمع عصی شرب قلب عجل كفر قول باس امر امن كون امن
2##94	قول كون دور اخر عند اله خلص دون نوس منی موت كون صدق
2##95	منی ابد قدم یدی اله علم ظلم
2##96	وجد حرص نوس حیی شرك ودد احد عمر الف سنو زحزح عذب عمر اله بصر عمل
2##97	قول كون عدو نزل قلب اذن اله صدق بین یدی هدی بشر امن
2##98	كون عدو اله ملك رسل اله عدو كفر
2##99	نزل ایی بین كفر فسق
2##100	كلل عهد عهد نبذ فرق كثر امن
2##101	جیا رسل عند اله صدق نبذ فرق اتی كتب كتب اله وری ظهر علم
2##102	تبع تلو شطن ملك كفر شطن كفر علم نوس سحر نزل ملك علم احد قول فتن كفر علم فرق بین مرا زوج ضرر احد اذن اله علم ضرر نفع علم شری اخر خلق باس شری نفس كون علم
2##103	امن وقی ثوب عند اله خیر كون علم
2##104	امن قول رعی قول نظر سمع كفر عذب الم
2##105	ودد كفر اهل كتب شرك نزل خیر ربب اله خصص رحم شیا اله فضل عظم
2##106	نسخ ایی نسی اتی خیر مثل علم اله كلل شیا قدر
2##107	علم اله ملك سمو ارض دون اله ولی نصر
2##108	رود سال رسل سال قبل بدل كفر امن ضلل سوی سبل
2##109	ودد كثر اهل كتب ردد بعد امن كفر حسد عند نفس بعد بین حقق عفو صفح اتی اله امر اله كلل شیا قدر
2##110	قوم صلو اتی زكو قدم نفس خیر وجد عند اله اله عمل بصر
2##111	قول دخل جنن كون هود نصر منی قول هات برهن كون صدق
2##112	سلم وجه اله حسن اجر عند ربب خوف حزن
2##113	قول لیس نصر شیا قول نصر لیس شیا تلو كتب قول علم مثل قول اله حكم بین یوم قوم كون خلف
2##114	ظلم منع سجد اله ذكر سمو سعی خرب كون دخل خوف دنو خزی اخر عذب عظم
2##115	اله شرق غرب ولی وجه اله اله وسع علم
2##116	قول اخذ اله ولد سبح سمو ارض كلل قنت
2##117	بدع سمو ارض قضی امر قول كون كون
2##118	قول علم كلم اله اتی ایی قول قبل مثل قول شبه قلب بین ایی قوم یقن
2##119	رسل حقق بشر نذر سال صحب جحم
2##120	رضو نصر تبع ملل قول هدی اله هدی تبع هوی بعد جیا علم اله ولی نصر
2##121	اتی كتب تلو حقق تلو امن كفر خسر
2##122	بنی ذكر نعم نعم فضل علم
2##123	وقی یوم جزی نفس نفس شیا قبل عدل نفع شفع نصر
2##124	بلو ربب كلم تمم قول جعل نوس امم قول ذرر قول نیل عهد ظلم
2##125	جعل بیت ثوب نوس امن اخذ قوم صلو عهد طهر بیت طوف عكف ركع سجد
2##126	قول ربب جعل بلد امن رزق اهل ثمر امن اله یوم اخر قول كفر متع قلل ضرر عذب نور باس صیر
2##127	رفع قعد بیت ربب قبل سمع علم
2##128	ربب جعل سلم ذرر امم سلم رای نسك توب توب رحم
2##129	ربب بعث رسل تلو ایی علم كتب حكم زكو عزز حكم
2##130	رغب ملل سفه نفس صفو دنو اخر صلح
2##131	قول ربب سلم قول سلم ربب علم
2##132	وصی بنی بنی اله صفو دین موت سلم
2##133	كون شهد حضر موت قول بنی عبد بعد قول عبد اله اله ابو اله وحد سلم
2##134	امم خلو كسب كسب سال كون عمل
2##135	قول كون هود نصر هدی قول ملل حنف كون شرك
2##136	قول امن اله نزل نزل سبط اتی اتی نبا ربب فرق بین احد سلم
2##137	امن مثل امن هدی ولی شقق كفی اله سمع علم
2##138	صبغ اله حسن اله صبغ عبد
2##139	قول حجج اله ربب ربب عمل عمل خلص
2##140	قول سبط كون هود نصر قول علم اله ظلم كتم شهد عند اله اله غفل عمل
2##141	امم خلو كسب كسب سال كون عمل
2##142	قول سفه نوس ولی قبل كون قول اله شرق غرب هدی شیا صرط قوم
2##143	جعل امم وسط كون شهد نوس كون رسل شهد جعل قبل كون علم تبع رسل قلب عقب كون كبر هدی اله كون اله ضیع امن اله نوس راف رحم
2##144	رای قلب وجه سمو ولی قبل رضو ولی وجه شطر سجد حرم حیث كون ولی وجه شطر اتی كتب علم حقق ربب اله غفل عمل
2##145	اتی اتی كتب كلل ایی تبع قبل تبع قبل بعض تبع قبل بعض تبع هوی بعد جیا علم ظلم
2##146	اتی كتب عرف عرف بنی فرق كتم حقق علم
2##147	حقق ربب كون مری
2##148	كلل وجه ولی سبق خیر كون اتی اله جمع اله كلل شیا قدر
2##149	حیث خرج ولی وجه شطر سجد حرم حقق ربب اله غفل عمل
2##150	حیث خرج ولی وجه شطر سجد حرم حیث كون ولی وجه شطر كون نوس حجج ظلم خشی خشی تمم نعم هدی
2##151	رسل رسل تلو ایی زكو علم كتب حكم علم كون علم
2##152	ذكر ذكر شكر كفر
2##153	امن عون صبر صلو اله صبر
2##154	قول قتل سبل اله موت حیی شعر
2##155	بلو شیا خوف جوع نقص مول نفس ثمر بشر صبر
2##156	صوب صوب قول اله رجع
2##157	صلو ربب رحم هدی
2##158	شعر اله حجج بیت عمر جنح طوف طوع خیر اله شكر علم
2##159	كتم نزل بین هدی بعد بین نوس كتب لعن اله لعن لعن
2##160	توب صلح بین توب توب رحم
2##161	كفر موت كفر لعن اله ملك نوس جمع
2##162	خلد خفف عذب نظر
2##163	اله اله وحد اله رحم رحم
2##164	خلق سمو ارض خلف لیل نهر فلك جری بحر نفع نوس نزل اله سمو موه حیی ارض بعد موت بثث كلل دبب صرف روح سحب سخر بین سمو ارض ایی قوم عقل
2##165	نوس اخذ دون اله ندد حبب حبب اله امن شدد حبب اله رای ظلم رای عذب قوی اله جمع اله شدد عذب
2##166	برا تبع تبع رای عذب قطع سبب
2##167	قول تبع كرر برا برا رای اله عمل حسر خرج نور
2##168	نوس اكل ارض حلل طیب تبع خطو شطن عدو بین
2##169	امر سوا فحش قول اله علم
2##170	قول تبع نزل اله قول تبع لفو ابو كون ابو عقل شیا هدی
2##171	مثل كفر مثل نعق سمع دعو ندو صمم بكم عمی عقل
2##172	امن اكل طیب رزق شكر اله كون عبد
2##173	حرم موت دمو لحم خنزر هلل غیر اله ضرر غیر بغی عدو اثم اله غفر رحم
2##174	كتم نزل اله كتب شری ثمن قلل اكل بطن نور كلم اله یوم قوم زكو عذب الم
2##175	شری ضلل هدی عذب غفر صبر نور
2##176	اله نزل كتب حقق خلف كتب شقق بعد
2##177	لیس برر ولی وجه قبل شرق غرب برر امن اله یوم اخر ملك كتب نبا اتی مول حبب قرب یتم سكن بنی سبل سال رقب قوم صلو اتی زكو وفی عهد عهد صبر باس ضرر حین باس صدق وقی
2##178	امن كتب قصص قتل حرر حرر عبد عبد انث انث عفو اخو شیا تبع عرف ادی حسن خفف ربب رحم عدو بعد عذب الم
2##179	قصص حیی اول لبب وقی
2##180	كتب حضر احد موت ترك خیر وصی ولد قرب عرف حقق وقی
2##181	بدل بعد سمع اثم بدل اله سمع علم
2##182	خوف وصی جنف اثم صلح بین اثم اله غفر رحم
2##183	امن كتب صوم كتب قبل وقی
2##184	یوم عدد كون مرض سفر عدد یوم اخر طوق فدی طعم سكن طوع خیر خیر صوم خیر كون علم
2##185	شهر نزل قرا هدی نوس بین هدی فرق شهد شهر صوم كون مرض سفر عدد یوم اخر رود اله یسر رود عسر كمل عدد كبر اله هدی شكر
2##186	سال عبد قرب جوب دعو دعو دعو جوب امن رشد
2##187	حلل لیل صوم رفث نسو لبس لبس علم اله كون خون نفس توب عفو بشر بغی كتب اله اكل شرب بین خیط بیض خیط سود فجر تمم صوم لیل بشر عكف سجد حدد اله قرب بین اله ایی نوس وقی
2##188	اكل مول بین بطل دلو حكم اكل فرق مول نوس اثم علم
2##189	سال هلل قول وقت نوس حجج لیس برر اتی بیت ظهر برر وقی اتی بیت بوب وقی اله فلح
2##190	قتل سبل اله قتل عدو اله حبب عدو
2##191	قتل حیث ثقف خرج حیث خرج فتن شدد قتل قتل عند سجد حرم قتل قتل قتل جزی كفر
2##192	نهی اله غفر رحم
2##193	قتل كون فتن كون دین اله نهی عدو ظلم
2##194	شهر حرم شهر حرم حرم قصص عدو عدو مثل عدو وقی اله علم اله وقی
2##195	نفق سبل اله لقی یدی هلك حسن اله حبب حسن
2##196	تمم حجج عمر اله حصر یسر هدی حلق راس بلغ هدی حلل كون مرض اذی راس فدی صوم صدق نسك امن متع عمر حجج یسر هدی وجد صوم ثلث یوم حجج سبع رجع عشر كمل كون اهل حضر سجد حرم وقی اله علم اله شدد عقب
2##197	حجج شهر علم فرض حجج رفث فسق جدل حجج فعل خیر علم اله زود خیر زود وقی وقی اول لبب
2##198	لیس جنح بغی فضل ربب فیض ذكر اله عند شعر حرم ذكر هدی كون قبل ضلل
2##199	فیض حیث فیض نوس غفر اله اله غفر رحم
2##200	قضی نسك ذكر اله ذكر ابو شدد ذكر نوس قول ربب اتی دنو اخر خلق
2##201	قول ربب اتی دنو حسن اخر حسن وقی عذب نور
2##202	نصب كسب اله سرع حسب
2##203	ذكر اله یوم عدد عجل یوم اثم اخر اثم وقی وقی اله علم حشر
2##204	نوس عجب قول حیی دنو شهد اله قلب لدد خصم
2##205	ولی سعی ارض فسد هلك حرث نسل اله حبب فسد
2##206	قول وقی اله اخذ عزز اثم حسب باس مهد
2##207	نوس شری نفس بغی رضو اله اله راف عبد
2##208	امن دخل سلم كفف تبع خطو شطن عدو بین
2##209	زلل بعد جیا بین علم اله عزز حكم
2##210	نظر اتی اله ظلل غمم ملك قضی امر اله رجع امر
2##211	سال بنی اتی ایی بین بدل نعم اله بعد جیا اله شدد عقب
2##212	زین كفر حیی دنو سخر امن وقی فوق یوم قوم اله رزق شیا غیر حسب
2##213	كون نوس امم وحد بعث اله نبا بشر نذر نزل كتب حقق حكم بین نوس خلف خلف اتی بعد جیا بین بغی بین هدی اله امن خلف حقق اذن اله هدی شیا صرط قوم
2##214	حسب دخل جنن اتی مثل خلو قبل مسس باس ضرر زلزل قول رسل امن نصر اله نصر اله قرب
2##215	سال نفق قول نفق خیر ولد قرب یتم سكن بنی سبل فعل خیر اله علم
2##216	كتب قتل كره عسی كره شیا خیر عسی حبب شیا شرر اله علم علم
2##217	سال شهر حرم قتل قول قتل كبر صدد سبل اله كفر سجد حرم خرج اهل كبر عند اله فتن كبر قتل زیل قتل ردد دین طوع ردد دین موت كفر حبط عمل دنو اخر صحب نور خلد
2##218	امن هجر جهد سبل اله رجو رحم اله اله غفر رحم
2##219	سال خمر یسر قول اثم كبر نفع نوس اثم كبر نفع سال نفق قول عفو بین اله ایی فكر
2##220	دنو اخر سال یتم قول صلح خیر خلط اخو اله علم فسد صلح شیا اله عنت اله عزز حكم
2##221	نكح شرك امن امو امن خیر شرك عجب نكح شرك امن عبد امن خیر شرك عجب دعو نور اله دعو جنن غفر اذن بین ایی نوس ذكر
2##222	سال حیض قول اذی عزل نسو حیض قرب طهر طهر اتی حیث امر اله اله حبب توب حبب طهر
2##223	نسو حرث اتی حرث انی شیا قدم نفس وقی اله علم لقی بشر امن
2##224	جعل اله عرض یمن برر وقی صلح بین نوس اله سمع علم
2##225	اخذ اله لغو یمن اخذ كسب قلب اله غفر حلم
2##226	الو نسو ربص ربع شهر فیا اله غفر رحم
2##227	عزم طلق اله سمع علم
2##228	طلق ربص نفس ثلث قرا حلل كتم خلق اله رحم كون امن اله یوم اخر بعل حقق ردد رود صلح مثل عرف رجل درج اله عزز حكم
2##229	طلق مرر مسك عرف سرح حسن حلل اخذ اتی شیا خوف قوم حدد اله خوف قوم حدد اله جنح فدی حدد اله عدو عدو حدد اله ظلم
2##230	طلق حلل بعد نكح زوج غیر طلق جنح رجع ظنن قوم حدد اله حدد اله بین قوم علم
2##231	طلق نسو بلغ اجل مسك عرف سرح عرف مسك ضرر عدو فعل ظلم نفس اخذ ایی اله هزا ذكر نعم اله نزل كتب حكم وعظ وقی اله علم اله كلل شیا علم
2##232	طلق نسو بلغ اجل عضل نكح زوج رضو بین عرف وعظ كون امن اله یوم اخر زكو طهر اله علم علم
2##233	ولد رضع ولد حول كمل رود تمم رضع ولد رزق كسو عرف كلف نفس وسع ضرر ولد ولد ولد ولد ورث مثل رود فصل رضو شور جنح رود رضع ولد جنح سلم اتی عرف وقی اله علم اله عمل بصر
2##234	وفی وذر زوج ربص نفس ربع شهر عشر بلغ اجل جنح فعل نفس عرف اله عمل خبر
2##235	جنح عرض خطب نسو كنن نفس علم اله ذكر وعد سرر قول قول عرف عزم عقد نكح بلغ كتب اجل علم اله علم نفس حذر علم اله غفر حلم
2##236	جنح طلق نسو مسس فرض فرض متع وسع قدر قتر قدر متع عرف حقق حسن
2##237	طلق قبل مسس فرض فرض نصف فرض عفو عفو یدی عقد نكح عفو قرب وقی نسی فضل بین اله عمل بصر
2##238	حفظ صلو صلو وسط قوم اله قنت
2##239	خوف رجل ركب امن ذكر اله علم كون علم
2##240	وفی وذر زوج وصی زوج متع حول غیر خرج خرج جنح فعل نفس عرف اله عزز حكم
2##241	طلق متع عرف حقق وقی
2##242	بین اله ایی عقل
2##243	رای خرج دور الف حذر موت قول اله موت حیی اله فضل نوس كثر نوس شكر
2##244	قتل سبل اله علم اله سمع علم
2##245	قرض اله قرض حسن ضعف ضعف كثر اله قبض بسط رجع
2##246	رای ملا بنی بعد قول نبا بعث ملك قتل سبل اله قول عسی كتب قتل قتل قول قتل سبل اله خرج دور بنی كتب قتل ولی قلل اله علم ظلم
2##247	قول نبا اله بعث ملك قول انی كون ملك حقق ملك اتی وسع مول قول اله صفو زید بسط علم جسم اله اتی ملك شیا اله وسع علم
2##248	قول نبا ایی ملك اتی سكن ربب بقی ترك اول اول حمل ملك ایی كون امن
2##249	فصل جند قول اله بلو نهر شرب لیس طعم غرف غرف یدی شرب قلل جوز امن قول طوق یوم جند قول ظنن لقی اله فای قلل غلب فای كثر اذن اله اله صبر
2##250	برز جند قول ربب فرغ صبر ثبت قدم نصر قوم كفر
2##251	هزم اذن اله قتل اتی اله ملك حكم علم شیا دفع اله نوس بعض بعض فسد ارض اله فضل علم
2##252	ایی اله تلو حقق رسل
2##253	رسل فضل بعض بعض كلم اله رفع بعض درج اتی بنی بین اید روح قدس شیا اله قتل بعد بعد جیا بین خلف امن كفر شیا اله قتل اله فعل رود
2##254	امن نفق رزق قبل اتی یوم بیع خلل شفع كفر ظلم
2##255	اله اله حیی قوم اخذ وسن نوم سمو ارض شفع عند اذن علم بین یدی خلف حوط شیا علم شیا وسع كرس سمو ارض اود حفظ علو عظم
2##256	كره دین بین رشد غوی كفر طغی امن اله مسك عرو وثق فصم اله سمع علم
2##257	اله ولی امن خرج ظلم نور كفر ولی طغی خرج نور ظلم صحب نور خلد
2##258	رای حجج ربب اتی اله ملك قول ربب حیی موت قول حیی موت قول اله اتی شمس شرق اتی غرب بهت كفر اله هدی قوم ظلم
2##259	مرر قری خوی عرش قول انی حیی اله بعد موت موت اله مای عوم بعث قول لبث قول لبث یوم بعض یوم قول لبث مای عوم نظر طعم شرب سنه نظر حمر جعل ایی نوس نظر عظم كیف نشز كسو لحم بین قول علم اله كلل شیا قدر
2##260	قول ربب رای كیف حیی موت قول امن قول طمن قلب قول اخذ ربع طیر صور جعل كلل جبل جزا دعو اتی سعی علم اله عزز حكم
2##261	مثل نفق مول سبل اله مثل حبب نبت سبع سنبل كلل سنبل مای حبب اله ضعف شیا اله وسع علم
2##262	نفق مول سبل اله تبع نفق منن اذی اجر عند ربب خوف حزن
2##263	قول عرف غفر خیر صدق تبع اذی اله غنی حلم
2##264	امن بطل صدق منن اذی نفق مول رای نوس امن اله یوم اخر مثل مثل صفو ترب صوب وبل ترك صلد قدر شیا كسب اله هدی قوم كفر
2##265	مثل نفق مول بغی رضو اله ثبت نفس مثل جنن ربو صوب وبل اتی اكل ضعف صوب وبل طلل اله عمل بصر
2##266	ودد احد كون جنن نخل عنب جری تحت نهر كلل ثمر صوب كبر ذرر ضعف صوب عصر نور حرق بین اله ایی فكر
2##267	امن نفق طیب كسب خرج ارض یمم خبث نفق لیس اخذ غمض علم اله غنی حمد
2##268	شطن وعد فقر امر فحش اله وعد غفر فضل اله وسع علم
2##269	اتی حكم شیا اتی حكم اتی خیر كثر ذكر اول لبب
2##270	نفق نفق نذر نذر اله علم ظلم نصر
2##271	بدو صدق نعم خفی اتی فقر خیر كفر سوا اله عمل خبر
2##272	لیس هدی اله هدی شیا نفق خیر نفس نفق بغی وجه اله نفق خیر وفی ظلم
2##273	فقر حصر سبل اله طوع ضرب ارض حسب جهل غنی عفف عرف سوم سال نوس لحف نفق خیر اله علم
2##274	نفق مول لیل نهر سرر علن اجر عند ربب خوف حزن
2##275	اكل ربو قوم قوم خبط شطن مسس قول بیع مثل ربو حلل اله بیع حرم ربو جیا وعظ ربب نهی سلف امر اله عود صحب نور خلد
2##276	محق اله ربو ربو صدق اله حبب كلل كفر اثم
2##277	امن عمل صلح قوم صلو اتی زكو اجر عند ربب خوف حزن
2##278	امن وقی اله وذر بقی ربو كون امن
2##279	فعل اذن حرب اله رسل توب راس مول ظلم ظلم
2##280	كون عسر نظر یسر صدق خیر كون علم
2##281	وقی یوم رجع اله وفی كلل نفس كسب ظلم
2##282	امن دین دین اجل سمو كتب كتب بین كتب عدل ابی كتب كتب علم اله كتب ملل حقق وقی اله ربب بخس شیا كون حقق سفه ضعف طوع ملل ملل ولی عدل شهد شهد رجل كون رجل رجل مرا رضو شهد ضلل احد ذكر احد اخر ابی شهد دعو سام كتب صغر كبر اجل قسط عند اله قوم شهد دنو ریب كون تجر حضر دور بین لیس جنح كتب شهد بیع ضرر كتب شهد فعل فسق وقی اله علم اله اله كلل شیا علم
2##283	كون سفر وجد كتب رهن قبض امن بعض بعض ادی امن امن وقی اله ربب كتم شهد كتم اثم قلب اله عمل علم
2##284	اله سمو ارض بدو نفس خفی حسب اله غفر شیا عذب شیا اله كلل شیا قدر
2##285	امن رسل نزل ربب امن كلل امن اله ملك كتب رسل فرق بین احد رسل قول سمع طوع غفر ربب صیر
2##286	كلف اله نفس وسع كسب كسب ربب اخذ نسی خطا ربب حمل اصر حمل قبل ربب حمل طوق عفو غفر رحم ولی نصر قوم كفر
3##1	الٓمٓ
3##2	اله اله حیی قوم
3##3	نزل كتب حقق صدق بین یدی نزل
3##4	قبل هدی نوس نزل فرق كفر ایی اله عذب شدد اله عزز نقم
3##5	اله خفی شیا ارض سمو
3##6	صور رحم كیف شیا اله عزز حكم
3##7	نزل كتب ایی حكم امم كتب اخر شبه قلب زیغ تبع شبه بغی فتن بغی اول علم اول اله رسخ علم قول امن كلل عند ربب ذكر اول لبب
3##8	ربب زیغ قلب بعد هدی وهب لدن رحم وهب
3##9	ربب جمع نوس یوم ریب اله خلف وعد
3##10	كفر غنی مول ولد اله شیا وقد نور
3##11	داب اول قبل كذب ایی اخذ اله ذنب اله شدد عقب
3##12	قول كفر غلب حشر باس مهد
3##13	كون ایی فای لقی فای قتل سبل اله اخر كفر رای مثل رای عین اله اید نصر شیا عبر اول بصر
3##14	زین نوس حبب شهو نسو بنی قنطر قنطر ذهب فضض خیل سوم نعم حرث متع حیی دنو اله عند حسن اوب
3##15	قول نبا خیر وقی عند ربب جنن جری تحت نهر خلد زوج طهر رضو اله اله بصر عبد
3##16	قول ربب امن غفر ذنب وقی عذب نور
3##17	صبر صدق قنت نفق غفر سحر
3##18	شهد اله اله ملك اول علم قوم قسط اله عزز حكم
3##19	دین عند اله سلم خلف اتی كتب بعد جیا علم بغی بین كفر ایی اله اله سرع حسب
3##20	حجج قول سلم وجه اله تبع قول اتی كتب امم سلم سلم هدی ولی بلغ اله بصر عبد
3##21	كفر ایی اله قتل نبا غیر حقق قتل امر قسط نوس بشر عذب الم
3##22	حبط عمل دنو اخر نصر
3##23	رای اتی نصب كتب دعو كتب اله حكم بین ولی فرق عرض
3##24	قول مسس نور یوم عدد غرر دین كون فری
3##25	كیف جمع یوم ریب وفی كلل نفس كسب ظلم
3##26	قول اله ملك ملك اتی ملك شیا نزع ملك شیا عزز شیا ذلل شیا یدی خیر كلل شیا قدر
3##27	ولج لیل نهر ولج نهر لیل خرج حیی موت خرج موت حیی رزق شیا غیر حسب
3##28	اخذ امن كفر ولی دون امن فعل لیس اله شیا وقی وقی حذر اله نفس اله صیر
3##29	قول خفی صدر بدو علم اله علم سمو ارض اله كلل شیا قدر
3##30	یوم وجد كلل نفس عمل خیر حضر عمل سوا ودد بین بین امد بعد حذر اله نفس اله راف عبد
3##31	قول كون حبب اله تبع حبب اله غفر ذنب اله غفر رحم
3##32	قول طوع اله رسل ولی اله حبب كفر
3##33	اله صفو اول اول علم
3##34	ذرر بعض بعض اله سمع علم
3##35	قول مرا ربب نذر بطن حرر قبل سمع علم
3##36	وضع قول ربب وضع انث اله علم وضع لیس ذكر انث سمو عوذ ذرر شطن رجم
3##37	قبل ربب قبل حسن نبت نبت حسن كفل كلل دخل حرب وجد عند رزق قول انی قول عند اله اله رزق شیا غیر حسب
3##38	دعو ربب قول ربب وهب لدن ذرر طیب سمع دعو
3##39	ندو ملك قوم صلو حرب اله بشر صدق كلم اله سود حصر نبا صلح
3##40	قول ربب انی كون غلم بلغ كبر مرا عقر قول اله فعل شیا
3##41	قول ربب جعل ایی قول ایی كلم نوس ثلث یوم رمز ذكر ربب كثر سبح عشو بكر
3##42	قول ملك اله صفو طهر صفو نسو علم
3##43	قنت ربب سجد ركع ركع
3##44	نبا غیب وحی كون لقی قلم كفل كون خصم
