1##1	ٱسْم ٱللَّه رَّحْمَٰن رَّحِیم
2##26	إِنّ ٱللَّه لَا یَسْتَحْيِۦٓ أَن ضَرَبَ مَثَل مَا بَعُوضَة مَا فَوْق أَمَّا ٱلَّذِي ءَامَنَ عَلِمَ أَنّ حَقّ مِن رَبّ أَمَّا ٱلَّذِي كَفَرَ قَالَ مَاذَا أَرَادَ ٱللَّه هَٰذَا مَثَل أَضَلَّ كَثِیر هَدَي كَثِیر مَا أَضَلَّ إِلَّا فَاسِق
2##27	ٱلَّذِي نَقَضَتْ عَهْد ٱللَّه مِن بَعْد مِّیثَٰق قُطِعَ مَا أَمَرَ ٱللَّه أَن یَصِلُ أَفْسَدُ فِي أَرْض أُولَٰٓئِك خَٰسِرِین
2##28	كَیْف كَفَرَ ٱللَّه كَانَ مَّیِّت أَحْیَا ثُمّ أَمَاتَ ثُمّ أَحْیَا ثُمّ إِلَيٰ رَجَعَ
2##29	ٱلَّذِي خَلَقَ مَا فِي أَرْض جَمِیع ثُمّ ٱسْتَوَيٰٓ إِلَيٰ سَمَآء سَوَّيٰ سَبْع سَمَآء كُلّ شَيْء عَلِیم
2##30	إِذ قَالَ رَبّ مَلَك إِنّ جَاعِل فِي أَرْض خَلِیفَة قَالَ جَعَلَ فِي مَن أَفْسَدُ فِي یَسْفِكُ دَم سَبَّحَ حَمْد نُقَدِّسُ قَالَ إِنّ عَلِمَ مَا لَا عَلِمَ
2##31	عَلَّمَ آدَم ٱسْم كُلّ ثُمّ عَرَضَ عَلَيٰ مَلَك قَالَ أَنۘبَأَ ٱسْم هَٰذَا إِن كَانَ صَادِق
2##32	قَالَ سُبْحَٰن لَا عِلْم إِلَّا مَا عَلَّمَ إِنّ عَلِیم حَكِیم
2##33	قَالَ آدَم أَنۘبَأَ ٱسْم لَمَّا أَنۘبَأَ ٱسْم قَالَ لَم قَالَ إِنّ عَلِمَ غَیْب سَمَآء أَرْض عَلِمَ مَا یُبْدِيَ مَا كَانَ كَتَمَ
2##34	إِذ قَالَ مَلَك سَجَدَ آدَم سَجَدَ إِلَّا إِبْلِیس أَبَي ٱسْتَكْبَرَ كَانَ مِن كَٰفِرُون
2##35	قَالَ آدَم سَكَنَ زَوْج جَنَّة أَكَلَ مِن رَغَد حَیْث شَآءَ لَا یَقْرَبُ هَٰذَا شَجَرَة كَانَ مِن ظَالِم
2##36	أَزَلَّ شَیْطَٰن عَن أَخْرَجَ مِن مَا كَانَ فِي قَالَ یَهْبِطُ بَعْض بَعْض عَدُوّ فِي أَرْض مُسْتَقَرّ مَتَٰع إِلَيٰ حِین
2##37	تَلَقَّيٰٓ آدَم مِن رَبّ كَلِمَٰت تَابَ عَلَيٰ إِنّ تَوَّاب رَّحِیم
2##38	قَالَ یَهْبِطُ مِن جَمِیع إِمَّا أَتَي مِن هُدًي مَن تَبِعَ هُدًي لَا خَوْف عَلَيٰ لَا یَحْزُن
2##39	ٱلَّذِي كَفَرَ كَذَّبَ ءَایَة أُولَٰٓئِك أَصْحَٰب نَار فِي خَٰلِد
2##40	بُنَيّ إِسْرَائِیل ذَكَرَ نِعْمَة ٱلَّذِي أَنْعَمَ عَلَيٰ أَوْفَيٰ عَهْد أَوْفَيٰ عَهْد إِیَّا یَرْهَبُ
2##41	ءَامَنَ مَا أَنزَلَ مُصَدِّق مَا مَع لَا كَانَ أَوَّل كَافِر لَا ٱشْتَرَيٰ ءَایَة ثَمَن قَلِیل إِیَّا ٱتَّقَيٰ
2##42	لَا لَبَسْ حَقّ بَٰطِل كَتَمَ حَقّ عَلِمَ
2##43	أَقَامَ صَلَوٰة آتَي زَكَوٰة یَرْكَعُ مَع رَاكِع
2##44	أَمَرَ نَّاس بِرّ نَسِيَ نَفْس تَلَيٰ كِتَٰب لَا عَقَلُ
2##45	ٱسْتَعِینُ صَبْر صَلَوٰة إِنّ كَبِیرَة إِلَّا عَلَيٰ خَاشِع
2##46	ٱلَّذِي ظَنَّ أَنّ مُّلَٰقُوا رَبّ أَنّ إِلَيٰ رَٰجِعُون
2##47	بُنَيّ إِسْرَائِیل ذَكَرَ نِعْمَة ٱلَّذِي أَنْعَمَ عَلَيٰ أَنّ فَضَّلَ عَلَيٰ عَٰلَمِین
2##48	ٱتَّقَيٰ یَوْم لَا جَزَيٰ نَفْس عَن نَفْس شَيْء لَا یَقْبَلُ مِن شَفَٰعَة لَا أَخَذَ مِن عَدْل لَا نَصَرَ
2##49	إِذ نَجَّيٰ مِن ءَال فِرْعَوْن یَسُومُ سُوٓء عَذَاب یُذَبِّحُ ٱبْن یَسْتَحْيِۦٓ نِسَآء فِي ذَٰلِك بَلَآء مِن رَبّ عَظِیم
2##50	إِذ فَرَقْ بَحْر أَنجَيٰ أُغْرِقُ ءَال فِرْعَوْن نَّظَرَ
2##51	إِذ وَٰعَدْ مُوسَيٰ أَرْبَع لَیْلَة ثُمّ ٱتَّخَذَ عِجْل مِن بَعْد ظَالِم
2##52	ثُمّ عَفَا عَن مِن بَعْد ذَٰلِك لَعَلّ شَكَرَ
2##53	إِذ آتَي مُوسَيٰ كِتَٰب فُرْقَان لَعَلّ ٱهْتَدَيٰ
2##54	إِذ قَالَ مُوسَيٰ قَوْم قَوْم إِنّ ظَلَمَ نَفْس ٱتِّخَاذ عِجْل تَابَ إِلَيٰ بَارِئ قَتَلَ نَفْس ذَٰلِك خَیْر عِند بَارِئ تَابَ عَلَيٰ إِنّ تَوَّاب رَّحِیم
2##55	إِذ قَالَ مُوسَيٰ لَن ءَامَنَ حَتَّيٰ رَءَا ٱللَّه جَهْرَة أَخَذَ صَاعِقَة نَّظَرَ
2##56	ثُمّ بَعَثَ مِن بَعْد مَوْت لَعَلّ شَكَرَ
2##57	ظَلَّلْ عَلَيٰ غَمَٰم أَنزَلَ عَلَيٰ مَنّ سَّلْوَيٰ أَكَلَ مِن طَیِّبَٰت مَا رَزَقَ مَا ظَلَمَ لَٰكِن كَانَ نَفْس ظَلَمَ
2##58	إِذ قَالَ دَخَلَ هَٰذَا قَرْیَة أَكَلَ مِن حَیْث شَآءَ رَغَد دَخَلَ بَاب سَاجِد قَالَ حِطَّة غَفَرَ خَطِیَٓة زَادَ مُحْسِن
2##59	بَدَّلَ ٱلَّذِي ظَلَمَ قَوْل غَیْر ٱلَّذِي قَالَ أَنزَلَ عَلَيٰ ٱلَّذِي ظَلَمَ رِجْز مِن سَمَآء مَا كَانَ فَسَقَ
2##60	إِذ ٱسْتَسْقَيٰ مُوسَيٰ قَوْم قَالَ ضَرَبَ عَصَا حَجَر ٱنفَجَرَتْ مِن ٱثْنَتَیْن عَشْرَة عَیْن قَد عَلِمَ كُلّ إِنسَٰن مَّشْرَب أَكَلَ شَرِبَ مِن رِزْق ٱللَّه لَا تَعْثَ فِي أَرْض مُفْسِد
2##61	إِذ قَالَ مُوسَيٰ لَن صَبَرَ عَلَيٰ طَعَام وَٰحِد دَعَا رَبّ أَخْرَجَ مِن مَا أَنۘبَتَ أَرْض مِن بَقْل قِثَّآئ فُوم عَدَس بَصَل قَالَ یَسْتَبْدِلْ ٱلَّذِي أَدْنَيٰ ٱلَّذِي خَیْر یَهْبِطُ مِصْر إِنّ مَا سَأَلَ ضَرَبَ عَلَيٰ ذِلَّة مَسْكَنَة بَآءَ غَضَب مِن ٱللَّه ذَٰلِك أَنّ كَانَ كَفَرَ ءَایَة ٱللَّه قَتَلَ نَّبِيّ غَیْر حَقّ ذَٰلِك مَا عَصَا كَانَ ٱعْتَدَيٰ
2##62	إِنّ ٱلَّذِي ءَامَنَ ٱلَّذِي هَادُ نَصْرَانِیّ صَّٰبِِین مَن ءَامَنَ ٱللَّه یَوْم آخِر عَمِلَ صَٰلِح أَجْر عِند رَبّ لَا خَوْف عَلَيٰ لَا یَحْزُن
2##63	إِذ أَخَذَ مِّیثَٰق رَفَعَ فَوْق طُور أَخَذَ مَا آتَي قُوَّة ذَكَرَ مَا فِي لَعَلّ ٱتَّقَيٰ
2##64	ثُمّ تَوَلَّيٰ مِن بَعْد ذَٰلِك لَوْلَآ فَضْل ٱللَّه عَلَيٰ رَحْمَة كَانَ مِن خَٰسِرِین
2##65	قَد عَلِمَ ٱلَّذِي ٱعْتَدَيٰ مِن فِي سَّبْت قَالَ كَانَ قِرَدَة خَاسِئ
2##66	جَعَلَ نَكَٰل مَا بَیْن یَد مَا خَلْف مَّوْعِظَة مُتَّقِین
2##67	إِذ قَالَ مُوسَيٰ قَوْم إِنّ ٱللَّه أَمَرَ أَن ذُبِحَ بَقَرَة قَالَ ٱتَّخَذَ هُزُو قَالَ عُذْ ٱللَّه أَن كَانَ مِن جَاهِل
2##68	قَالَ دَعَا رَبّ بَیَّنُ مَا قَالَ إِنّ قَالَ إِنّ بَقَرَة لَا فَارِض لَا بِكْر عَوَان بَیْن ذَٰلِك فَعَلَ مَا أَمَرَ
2##69	قَالَ دَعَا رَبّ بَیَّنُ مَا لَوْن قَالَ إِنّ قَالَ إِنّ بَقَرَة صَفْرَآء فَاقِع لَوْن تَسُرُّ نَٰظِرِین
2##70	قَالَ دَعَا رَبّ بَیَّنُ مَا إِنّ بَقَر تَشَٰبَهَ عَلَيٰ إِنّ إِن شَآءَ ٱللَّه مُّهْتَدُون
2##71	قَالَ إِنّ قَالَ إِنّ بَقَرَة لَا ذَلُول أَثَارُ أَرْض لَا سَقَيٰ حَرْث مُّسَلَّمَة لَا شِیَة فِي قَالَ َٰن جَآءَ حَقّ ذُبِحَ مَا كَادَ فَعَلَ
2##72	إِذ قَتَلَ نَفْس ٱدَّٰرَْٰ فِي ٱللَّه مُخْرِج مَا كَانَ كَتَمَ
2##73	قَالَ ضَرَبَ بَعْض ذَٰلِك أَحْیَا ٱللَّه مَّیِّت أَرَیْ ءَایَة لَعَلّ عَقَلُ
2##74	ثُمّ قَسَتْ قَلْب مِن بَعْد ذَٰلِك حِجَارَة أَو أَشَدّ قَسْوَة إِنّ مِن حِجَارَة مَا یَتَفَجَّرُ مِن نَهَر إِنّ مِن مَا یَشَّقَّقُ خَرَجَ مِن مَآء إِنّ مِن مَا یَهْبِطُ مِن خَشْیَة ٱللَّه مَا ٱللَّه غَٰفِل عَن مَا عَمِلَ
2##75	یَطْمَعُ أَن ءَامَنَ قَد كَانَ فَرِیق مِن سَمِعَ كَلَٰم ٱللَّه ثُمّ یُحَرِّفُ مِن بَعْد مَا عَقَلُ عَلِمَ
2##76	إِذَا لَقُ ٱلَّذِي ءَامَنَ قَالَ ءَامَنَ إِذَا خَلَا بَعْض إِلَيٰ بَعْض قَالَ تُحَدِّثُ مَا فَتَحَ ٱللَّه عَلَيٰ حَآجَّ عِند رَبّ لَا عَقَلُ
2##77	لَا عَلِمَ أَنّ ٱللَّه عَلِمَ مَا أَسَرَّ مَا أَعْلَن
2##78	مِن أُمِّيّ لَا عَلِمَ كِتَٰب إِلَّا أُمْنِیَّت إِن إِلَّا ظَنَّ
2##79	وَیْل ٱلَّذِي كَتَبَ كِتَٰب یَد ثُمّ قَالَ هَٰذَا مِن عِند ٱللَّه ٱشْتَرَيٰ ثَمَن قَلِیل وَیْل مِن مَا كَتَبَ یَد وَیْل مِن مَا كَسَبَ
2##80	قَالَ لَن مَسَّ نَار إِلَّا یَوْم مَّعْدُودَة قَالَ ٱتَّخَذَ عِند ٱللَّه عَهْد لَن أَخْلَفُ ٱللَّه عَهْد أَم قَالَ عَلَيٰ ٱللَّه مَا لَا عَلِمَ
2##81	بَلَيٰ مَن كَسَبَ سَیِّئَة أَحَاطَ خَطِیَٓة أُولَٰٓئِك أَصْحَٰب نَار فِي خَٰلِد
2##82	ٱلَّذِي ءَامَنَ عَمِلَ صَّٰلِحَٰت أُولَٰٓئِك أَصْحَٰب جَنَّة فِي خَٰلِد
2##83	إِذ أَخَذَ مِّیثَٰق بُنَيّ إِسْرَائِیل لَا عَبَدَ إِلَّا ٱللَّه وَالِد إِحْسَٰن ذُو قُرْبَيٰ یَتِیم مِسْكِین قَالَ نَّاس حُسْن أَقَامَ صَلَوٰة آتَي زَكَوٰة ثُمّ تَوَلَّيٰ إِلَّا قَلِیل مِن مُّعْرِضُون
2##84	إِذ أَخَذَ مِّیثَٰق لَا یَسْفِكُ دَم لَا أَخْرَجَ نَفْس مِن دَار ثُمّ أَقْرَرْ شَهِدَ
2##85	ثُمّ هَٰذَا قَتَلَ نَفْس أَخْرَجَ فَرِیق مِن مِن دَار تَظَٰهَرُ عَلَيٰ إِثْم عُدْوَٰن إِن أَتَي أَسِیر تُفَٰدُ مُحَرَّم عَلَيٰ إِخْرَاج ءَامَنَ بَعْض كِتَٰب كَفَرَ بَعْض مَا جَزَآء مَن فَعَلَ ذَٰلِك مِن إِلَّا خِزْي فِي حَیَوٰة دُّنْیَا یَوْم قِیَٰمَة رَدَّ إِلَيٰ أَشَدّ عَذَاب مَا ٱللَّه غَٰفِل عَن مَا عَمِلَ
2##86	أُولَٰٓئِك ٱلَّذِي ٱشْتَرَيٰ حَیَوٰة دُّنْیَا آخِر لَا خَفَّفَ عَن عَذَاب لَا نَصَرَ
2##87	قَد آتَي مُوسَيٰ كِتَٰب قَفَّیْ مِن بَعْد رَسُول آتَي عِیسَي ٱبْن مَرْیَم بَیِّنَة أَیَّدَ رُوح قُدُس كُلَّمَا جَآءَ رَسُول مَا لَا هَوَيٰ نَفْس ٱسْتَكْبَرَ فَرِیق كَذَّبَ فَرِیق قَتَلَ
2##88	قَالَ قَلْب غُلْف بَل لَعَنَ ٱللَّه كُفْر قَلِیل مَا ءَامَنَ
2##89	لَمَّا جَآءَ كِتَٰب مِن عِند ٱللَّه مُصَدِّق مَا مَع كَانَ مِن قَبْل ٱسْتَفْتَحُ عَلَيٰ ٱلَّذِي كَفَرَ لَمَّا جَآءَ مَا عَرَفَ كَفَرَ لَعْنَة ٱللَّه عَلَيٰ كَٰفِرُون
2##90	بِئْسَ مَا ٱشْتَرَيٰ نَفْس أَن كَفَرَ مَا أَنزَلَ ٱللَّه بَغْی أَن نَزَّلَ ٱللَّه مِن فَضْل عَلَيٰ مَن شَآءَ مِن عَبْد بَآءَ غَضَب عَلَيٰ غَضَب كَٰفِرُون عَذَاب مُّهِین
2##91	إِذَا قَالَ ءَامَنَ مَا أَنزَلَ ٱللَّه قَالَ ءَامَنَ مَا أَنزَلَ عَلَيٰ كَفَرَ مَا وَرَآء حَقّ مُصَدِّق مَا مَع قَالَ مَا قَتَلَ نَّبِيّ ٱللَّه مِن قَبْل إِن كَانَ مُؤْمِن
2##92	قَد جَآءَ مُوسَيٰ بَیِّنَة ثُمّ ٱتَّخَذَ عِجْل مِن بَعْد ظَالِم
2##93	إِذ أَخَذَ مِّیثَٰق رَفَعَ فَوْق طُور أَخَذَ مَا آتَي قُوَّة سَمِعَ قَالَ سَمِعَ عَصَا أُشْرِبُ فِي قَلْب عِجْل كُفْر قَالَ بِئْسَ مَا أَمَرَ إِیمَٰن إِن كَانَ مُؤْمِن
2##94	قَالَ إِن كَانَ دَار آخِر عِند ٱللَّه خَالِصَة مِن دُون نَّاس یَتَمَنَّ مَوْت إِن كَانَ صَادِق
2##95	لَن یَتَمَنَّ أَبَدًا مَا قَدَّمَ یَد ٱللَّه عَلِیم ظَالِم
2##96	وَجَدَ أَحْرَص نَّاس عَلَيٰ حَیَوٰة مِن ٱلَّذِي أَشْرَكَ وَدَّ أَحَد لَو یُعَمَّرُ أَلْف سَنَة مَا مُزَحْزِح مِن عَذَاب أَن یُعَمَّرُ ٱللَّه بَصِیر مَا عَمِلَ
2##97	قَالَ مَن كَانَ عَدُوّ جِبْرِیل إِنّ نَزَّلَ عَلَيٰ قَلْب إِذْن ٱللَّه مُصَدِّق مَا بَیْن یَد هُدًي بُشْرَيٰ مُؤْمِن
2##98	مَن كَانَ عَدُوّ ٱللَّه مَلَك رَسُول جِبْرِیل مِیكَيٰل إِنّ ٱللَّه عَدُوّ كَٰفِرُون
2##99	قَد أَنزَلَ إِلَيٰ ءَایَة بَیِّنَة مَا كَفَرَ إِلَّا فَاسِق
2##100	كُلَّمَا عَٰهَدَ عَهْد نَبَذَ فَرِیق مِن بَل أَكْثَر لَا ءَامَنَ
2##101	لَمَّا جَآءَ رَسُول مِن عِند ٱللَّه مُصَدِّق مَا مَع نَبَذَ فَرِیق مِن ٱلَّذِي آتَي كِتَٰب كِتَٰب ٱللَّه وَرَآء ظَهْر كَأَنّ لَا عَلِمَ
2##102	ٱتَّبَعَ مَا تَلَيٰ شَیْطَٰن عَلَيٰ مُلْك سُلَیْمَٰن مَا كَفَرَ سُلَیْمَٰن لَٰكِنّ شَیْطَٰن كَفَرَ عَلَّمَ نَّاس سِحْر مَا أَنزَلَ عَلَيٰ مَلَك بَابِل هَٰرُوت مَٰرُوت مَا عَلَّمَ مِن أَحَد حَتَّيٰ قَالَ إِنّ مَا فِتْنَة لَا كَفَرَ یَتَعَلَّمُ مِن مَا فَرَّقُ بَیْن مَرْء زَوْج مَا ضَآرّ مِن أَحَد إِلَّا إِذْن ٱللَّه یَتَعَلَّمُ مَا یَضُرَّ لَا نَفَعَ قَد عَلِمَ مَن ٱشْتَرَيٰ مَا فِي آخِر مِن خَلَٰق بِئْسَ مَا شَرَ نَفْس لَو كَانَ عَلِمَ
2##103	لَو أَنّ ءَامَنَ ٱتَّقَيٰ مَثُوبَة مِن عِند ٱللَّه خَیْر لَو كَانَ عَلِمَ
2##104	أَیُّهَا ٱلَّذِي ءَامَنَ لَا قَالَ رَٰعِ قَالَ نَّظَرَ سَمِعَ كَٰفِرُون عَذَاب أَلِیم
2##105	مَا وَدَّ ٱلَّذِي كَفَرَ مِن أَهْل كِتَٰب لَا مُشْرِك أَن نَزَّلَ عَلَيٰ مِن خَیْر مِن رَبّ ٱللَّه یَخْتَصُّ رَحْمَة مَن شَآءَ ٱللَّه ذُو فَضْل عَظِیم
2##106	مَا یَنسَخُ مِن ءَایَة أَو أَنسَيٰ أَتَي خَیْر مِن أَو مِثْل لَم عَلِمَ أَنّ ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
2##107	لَم عَلِمَ أَنّ ٱللَّه مُلْك سَمَآء أَرْض مَا مِن دُون ٱللَّه مِن وَلِيّ لَا نَصِیر
2##108	أَم أَرَادَ أَن سَأَلَ رَسُول مَا سَأَلَ مُوسَيٰ مِن قَبْل مَن یَتَبَدَّلِ كُفْر إِیمَٰن قَد ضَلَّ سَوَآء سَبِیل
2##109	وَدَّ كَثِیر مِن أَهْل كِتَٰب لَو رَدَّ مِن بَعْد إِیمَٰن كَافِر حَسَد مِن عِند نَفْس مِن بَعْد مَا تَبَیَّنَ حَقّ عَفَا یَصْفَحُ حَتَّيٰ أَتَي ٱللَّه أَمْر إِنّ ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
2##110	أَقَامَ صَلَوٰة آتَي زَكَوٰة مَا قَدَّمَ نَفْس مِن خَیْر وَجَدَ عِند ٱللَّه إِنّ ٱللَّه مَا عَمِلَ بَصِیر
2##111	قَالَ لَن دَخَلَ جَنَّة إِلَّا مَن كَانَ هُود أَو نَصْرَانِیّ ذَٰلِك أُمْنِیَّت قَالَ هَاتُ بُرْهَٰن إِن كَانَ صَادِق
2##112	بَلَيٰ مَن أَسْلَمَ وَجْه ٱللَّه مُحْسِن أَجْر عِند رَبّ لَا خَوْف عَلَيٰ لَا یَحْزُن
2##113	قَالَ یَهُودِیّ لَّیْسَ نَصْرَانِیّ عَلَيٰ شَيْء قَالَ نَصْرَانِیّ لَّیْسَ یَهُودِیّ عَلَيٰ شَيْء تَلَيٰ كِتَٰب ذَٰلِك قَالَ ٱلَّذِي لَا عَلِمَ مِثْل قَوْل ٱللَّه حَكَمَ بَیْن یَوْم قِیَٰمَة فِي مَا كَانَ فِي ٱخْتَلَفَ
2##114	مَن أَظْلَم مِن مَن مَّنَعَ مَسْجِد ٱللَّه أَن ذَكَرَ فِي ٱسْم سَعَيٰ فِي خَرَاب أُولَٰٓئِك مَا كَانَ أَن دَخَلَ إِلَّا خَآئِف فِي دُّنْیَا خِزْي فِي آخِر عَذَاب عَظِیم
2##115	ٱللَّه مَشْرِق مَغْرِب أَیْن وَلَّيٰ ثَمّ وَجْه ٱللَّه إِنّ ٱللَّه وَٰسِع عَلِیم
2##116	قَالَ ٱتَّخَذَ ٱللَّه وَلَد سُبْحَٰن بَل مَا فِي سَمَآء أَرْض كُلّ قَانِت
2##117	بَدِیع سَمَآء أَرْض إِذَا قَضَيٰٓ أَمْر إِنّ مَا قَالَ كَانَ كَانَ
2##118	قَالَ ٱلَّذِي لَا عَلِمَ لَوْلَآ كَلَّمَ ٱللَّه أَو أَتَي ءَایَة ذَٰلِك قَالَ ٱلَّذِي مِن قَبْل مِثْل قَوْل تَشَٰبَهَ قَلْب قَد بَیَّنُ ءَایَة قَوْم یُوقِنُ
2##119	إِنّ أَرْسَلَ حَقّ بَشِیر نَذِیر لَا سَأَلَ عَن أَصْحَٰب جَحِیم
2##120	لَن رَّضِيَ عَن یَهُودِیّ لَا نَصْرَانِیّ حَتَّيٰ ٱتَّبَعَ مِلَّة قَالَ إِنّ هُدًي ٱللَّه هُدًي إِن ٱتَّبَعَ أَهْوَآء بَعْد ٱلَّذِي جَآءَ مِن عِلْم مَا مِن ٱللَّه مِن وَلِيّ لَا نَصِیر
2##121	ٱلَّذِي آتَي كِتَٰب تَلَيٰ حَقّ تِلَاوَت أُولَٰٓئِك ءَامَنَ مَن كَفَرَ أُولَٰٓئِك خَٰسِرِین
2##122	بُنَيّ إِسْرَائِیل ذَكَرَ نِعْمَة ٱلَّذِي أَنْعَمَ عَلَيٰ أَنّ فَضَّلَ عَلَيٰ عَٰلَمِین
2##123	ٱتَّقَيٰ یَوْم لَا جَزَيٰ نَفْس عَن نَفْس شَيْء لَا یَقْبَلُ مِن عَدْل لَا نَفَعَ شَفَٰعَة لَا نَصَرَ
2##124	إِذ ٱبْتَلَيٰٓ إِبْرَاهِیم رَبّ كَلِمَٰت أَتَمَّ قَالَ إِنّ جَاعِل نَّاس إِمَام قَالَ مِن ذُرِّیَّة قَالَ لَا یَنَالُ عَهْد ظَالِم
2##125	إِذ جَعَلَ بَیْت مَثَابَة نَّاس أَمْن ٱتَّخَذَ مِن مَقَام إِبْرَاهِیم مُصَلًّي عَهِدَ إِلَيٰ إِبْرَاهِیم إِسْمَاعِیل أَن طَهَّرَ بَیْت طَآئِف عَاكِف رَاكِع سُّجُود
2##126	إِذ قَالَ إِبْرَاهِیم رَبّ جَعَلَ هَٰذَا بَلَد ءَامِن رَزَقَ أَهْل مِن ثَمَرَٰت مَن ءَامَنَ مِن ٱللَّه یَوْم آخِر قَالَ مَن كَفَرَ مَّتَّعْ قَلِیل ثُمّ ٱضْطُرَّ إِلَيٰ عَذَاب نَار بِئْسَ مَصِیر
2##127	إِذ رَفَعَ إِبْرَاهِیم قَوَاعِد مِن بَیْت إِسْمَاعِیل رَبّ تَقَبَّلَ مِن إِنّ سَمِیع عَلِیم
2##128	رَبّ جَعَلَ مُسْلِم مِن ذُرِّیَّة أُمَّة مُّسْلِمَة أَرَیْ مَنسَك تَابَ عَلَيٰ إِنّ تَوَّاب رَّحِیم
