,Finglish,Persian
928,aakhe baraayam jaaleb ast aan chiz haayi ke azashaan mishnavim baa aan chiz haayi ke khodemaan mibinim,اخه برام جالبه اون چیزای که ازشون می شنویم با اون چیزای که خودمون می بینیم.
1750,mikhaam bache daar sham.,می خوام بچه دار بشم
1234,"faateme sotoode: agar jelde badii dar kaar baashad, ghatan hamin kaar raa khaaham kard.",فاطمه ستوده: اگر جلد بعدیای در کار باشد، قطعا همین کار را خواهم کرد
134,hasan delesh baram tang mishe.,حسن، دلش برام تنگ میشه
1745,natije migirim ke nabaayad oon badbakht ro zaa be raah konim. berim bekhaabim behtare.,نتیجه می گیریم که نباید اون بدبخت رو زابه راه کنیم. بریم بخوابیم بهتره.
22,motmaenan ekhrajet mikonam.,!مطمئناً اخراجت مي کنم
1616,be hamin dalil vey raa ghorbaani nakardand va aazaad shod.,به همین دلیل وی را قربانی نکردند و ازاد شد
1603,ey kaash eshtebaah mikardam.,ای کاش اشتباه می کردم
177,posht sahney barnamehay tond televisiony.,پشتصحنهی برنامههای لایو تلویزیونی
279,man dar sandalim frou raftam va bi sabraneh mountazer payan jalaseh boudam.,من در صندلیم فرو رفتم، و بیصبرانه منتظر پایان جلسه بودم
332,"zahremar chera mikhndi? har kasi hasti bash, azat nemitarsam.",زهرمار. چرا می خندی؟ هر کسی هستی باش ازت نمی ترسم. بگو چطور اومدی اینجا؟
968,in chand rooze baayad be tarz vahshatnaaki naghsh yek aadam shaad va khoshhaal raa baazi konam,این چند روزه باید به طرز وحشتناکی نقش یه آدم شاد و خوشحال رو بازی کنم
664,sobh ham baa maamaan va baabaa raftim biroon,صبح هم با مامان و بابا رفتیم بیرون
1182,nemidoonam chikaar konam.,نمیدونم چیکار کنم
1135,tooye gerdehamaayi haa mibinan.,توی گردهمآیی ها میبینن
1545,vali chizi ke vaaghean eraae daadam kheradi bood ke be khoobi kasb karde boodam.,ولی چیزی که واقعاً ارائه دادم خردی بود که به خوبی کسب کرده بودم
380,va chizi ke motovajeh shodim in bood ke afradi ke biadabi ra tajrobe mikonand kheili bad tar anjam vazife mikonand.,و چیزی که متوجه شدیم این بود که افرادی که بی ادبی را تجربه میکنند خیلی بدتر انجام وظیفه میکنند
1777,baa negaahi be daastaane kootaahe moonese maadare esfandiyaar.,با نگاهی به داستان کوتاه مونس مادر اسفندیار
644,va khoda mrgam bedahad chetor mage shod moones joon?,وا خدا مرگم بده چطور شده مگه مونس جون؟
1552,"baraaye rishe kaniye faghr, salaamat, aamozesh va ghazaa.",برای ریشهکنی فقر، سلامت، آموزش و غذا
1134,to baayad jaa khaali midaadi?,تو باید جاخالی میدادی؟
1331,do rooe behet migam ye jaaroo khaak andaaz bardaar in moosho partesh kon biroon.,دو روزه بهت میگم یه جارو خاک انداز بردار این موشو پرتش کن بیرون.
327,"salam shila, sedayat yek joury shode ast.",سلام شیلا صدات یه جوری شده
1783,chat va digar ertebaataat dar servisdoostyaabi.,چت و دیگر ارتباطات در سرویس دوستیابی
1419,shiveye amal kardane aan haa salb kardan ast yaa hedaayate pool be sarmaaye haaye motamarkez dar aatefi ast.,شیوه عمل آنها سلب کردن است یا هدایت پول به سرمایههای متمرکز در عاطفی است
360,to aslan man ra nemishenasi.,!تو اصلا منو نمي شناسي
1166,hamin alaan az oobre eshteraaki piyaade shodam.,همین الان از اوبر اشتراکی پیاده شدم
512,va dar rasta ye tosie ha ye moshaverati mitavanid aan ra bedoon e naam tahvil dahid.,و در راستای توصیههای مشاورتی میتوانید آنرا بدون نام تحویل دهید
1188,aslan daastaane jaalebi nist.,اصلا داستان جالبی نیست
1611,"forsat va sedaaye bishtari mikhaahand, ke betaavaanand jam shavand va be hamdigar komak konand.",فرصت و صدای بیشتری میخواهند، که بتوانند جمع شوند و به همدیگر کمک کنند
1688,"shanbe hastam, vaaghean migam.",شنبه هستم ، واقعا میگم
585,pire mard e bimaar negaran ast shayad digar zende namanad.,پیرمرد بیمار نگران است شاید دیگر زنده نماند
1398,"hey, mitoonam komak konam?",هی ، می تونم کمک کنم ؟
849,bale man hatman khoobi shomaa raa faraamoosh nemikonam taa dir nashode az posht baam faraar konid agar jelotaan raa gereftand begooid doost farmoosh hastim,بله حتماً من خوبی شما رو فراموش نمی کنم. تا دیر نشده از پشت بوم فرار کنید. اگه جلوتونو گرفتن بگید دوست فرموش هستیم.
1036,va injaa mibinid.,و اینجا میبینید
33,digar az rouzi ke rafti hata khabat ra ham nadideh am.,دیگه از روزی که رفتی حتی خوابتم ندیدم
261,khoub khoulase begam.,خوب خلاصه بگم
1105,hoseleye anjaame kaarhaaye zaroori raa ham nadaarid?,حوصله انجام کارهای ضروری راهم ندارید؟
100,bayad begam in rahat nist.,بايد بگم اين راحت نيست
987,chon ke andaazeam nist,چونکه اندازه ام نيست
89,komakam kon be oun chizi ke ghesmatam hast ghane basham va betunam be zendegim edameh bedam.,کمکم کن که به اون چیزی که قسمتمه قانع باشم و بتونم به زندگیم ادامه بدم
785,pas say kon bikhialash beshavi,پس سعي کن بيخيالش بشي
68,taasir medad siah dar zendegi doo koudak.,تاثیر مداد سیاه در زندگی دو کودک
976,vaay shaam aali bood mersi,واي شام عالي بود مرسي
358,bi adabi krkhneh ra kam asar mikonad.,بیادبی کارکنان و عملکردشان را کم اثر میکند
99,mazdak mirzaye gozareshgare baziy perspolise kashima shod.,مزدک میرزایی گزارشگر بازی حساس پرسپولیس-کاشیما شد
717,mamnoon komak nemikhaam,ممنون، کمک نمی خوام
167,va in mesal digari baray rahbaran ast.,و این مثال دیگری برای رهبران است
1746,saraasime ey vaay chi shode? dozdidanet? kojaa raftan? chand nafar boodan?,سراسیمه ای وای چی شده؟ دزدیدنت؟ کجا رفتن؟ چند نفر بودن؟
115,ye madarshoar daram baram loobiya khoord karde o ba gojehfarangi rande shodeh pokhte va dadeh behem ta moghe e dorostkardanesh rahat basham.,یه مادرشوهردارم: برام لوبیا خرد کرده و با گوجه فرنگی رنده شده پخته و داده بهم تا موقع درست کردنش راحت باشم
712,said man yek soaal daaram,سعید من يه سوال دارم.
1193,manam too aayandeat hastam?,منم تو آینده ات هستم؟
1562,va dar raastaaye tosiye haaye moshaaverati mitavaanid aan raa bedoone naam tahvil dahid.,و در راستای توصیههای مشاورتی میتوانید آنرا بدون نام تحویل دهید
587,dar bangeladesh ma hamkarani darim ke darand dah ha hezar javaan ra dar zamie ye faani amouzesh midahand ta betavanand mecanic e motor ya khdamat e telephon e hamraah shavand.,در بنگلادش، ما همکارانی داریم که دارند دهها هزار جوان را در زمینه فنی آموزش میدهند، تا بتوانند مکانیک موتور، یا خدمات تلفن همراه بشوند
903,olgoo haa va raftaar haayi mesl in roozaane bar afraad baa khod abzaari zaif dar hame zamine haaye kaari tasir daarad,الگوها و رفتارهایی مثل این روزانه بر افراد با خود ابرازی ضعیف در همه زمینههای کاری تاثیر دارد
584,in khane khreghol ade ast.,!اين خونه خارق العادست
1288,oonam vhe ghahremaani martike ghasde joonemoon daare.,اونم چه قهرمانی مرتیکه قصد جونمون داره
1368,man baayad bargardam sare kaar.,من باید برگردم سر کارم
467,nabayad oon loghat ra be zaban miavordam.,نباید اون لغت به زبون میاوردم
1649,zan miravad lebaas va vasaayelash raa jam mikonad va baa chamedaan miaayad.,زن می رود لباس و وسایلش را جمع می کند و با چمدان می آید
366,aan ha ra az in mavared agah sakhtim.,آنها را از این موارد آگاه ساختید
756,haalaa khoob ast maamaan too javaanish khodash aatash paarei boode haa,حالا خوبه مامان توی جوونیش خودش اتیش پاره ای بوده ها.
234,"khanouma miomadan touye maghazeh, migoftan agha in lebas palangi ranghaye digeie ham dare?",خانوما میومدن تو مغازه میگفتن آقا این لباس پلنگی رنگای دیگه هم داره؟
926,zhaaponi haa akhlaagh raa baakhtand chon natavaanestand hame varzeshgah raa tamiz konand,ژاپنیا اخلاق رو باختن چون نتونستن همهی ورزشگاه و تمیز کنن
1805,"haale khoobi ke kasi nabaashe baahaash ghesmatesh koni, khodesh mishe kam kam aamele haale bade aadam.",حال خوبی که کسی نباشه باهاش قسمتش کنی، خودش کم کم میشه عامل حال بد آدم
1285,vali oon kaare badi nakarde.,ولی اون کار بدی نکرده
1501,aghlab be yekdigar etemaade kaafi nadaarim.,اغلب به یکدیگر اعتماد کافی نداریم
64,man midounestam ke belakhareh.,من ميدونستم که بالاخره
1344,"aknoon in se andarz aaghaaze khoobi khaahad bood, vali bar besyaari az sad haaye digar gizaaresh resaani nemitavaanad chire shavad.",اکنون این سه اندرز آغاز خوبی خواهد بود، ولی بر بسیاری از سدهای دیگر گزارشرسانی نمیتواند چیره شود
876,man chand taa navaar raa didam,من چند تا نوار رو ديدم
1721,baa shakhse zirdaste digari dar bakhshe ertebaataate sarmaaye gozaar sohbat mikonad.,با شخص زیردست دیگری در بخش ارتباطات سرمایهگذار صحبت میکند
325,ta hala tourisr az azarbaijan nadide boodam.,تا حالا توریست از آذربایجان ندیده بودم
1013,baayad sarzaminaaye door oftaade ro kashf konam.,باید سرزمینای دور افتاده رو کشف کنم
1585,too kelaasemoon fazaaye kheyli khoobi bood taghriban hame baa ham raahat boodim.,تو کلاسمون فضای خیلی خوبی بود تقریبا همه با هم راحت بودیم
1064,amal aavardane sarie hooshe ehsaasi kaare sakhtist.,عمل آوردن سریع هوش احساسی کار سختی است
1366,bish az hezaar o chaahaar sad saal pish koodaki dar shahre make cheshm be jahaan goshood.,بیش از هزار و چهار صد سال پیش کودکی در شهر مکه چشم به جهان گشود
431,mavad e mored e niaz bara ye sakht e mark e posht e yaghe ye lebas.,مواد مورد نیاز برای ساخت مارک پشت یقه لباس
592,chon oon naghsh kheili khoobe.,چون اون نقش خيلي خوبه
641,bashe ramzi harf mizanam.,باشه ، رمزي حرف مي زنم
1326,baashe shoroo mikonim.,باشه ، شروع میکنیم
935,shaayad moshkel az maa nabaashad,شايد مشکل از ما نباشه
150,khoobe ke jameeye pezeshki.,.خوبه که جامعه پزشکي
97,kar khoobi mikony afarin.,کار خوبی می کنی ، افرین.
907,mamlov az giaahaan va heyvaanaati mibaashad,مملو از گیاهان و حیواناتی می باشد
1010,bishtare aanhaa har kodaan bish az do daghighe tool nemikeshad.,بیشتر آنها هر کدام بیش از دو دقیقه طول نمیکشند
271,vali ghatan tasmim ba toust.,ولي قطعا تصميم با توست
1202,aanghad zibaast ke aadam doost daare oonjaa baajenaaghe sho bokoshe bad rahaa kone bere.,انقد زیباست که آدم دوست داره اونجا باجناق شو بکشه بعد رها کنه بره
1456,vaay shaam aali bood mersi.,وای شام عالی بود مرسی
528,"avalan mrc az deght e hamegi, saniaan manzoor az chahar nesbat e tolid va karkonan ast.",اولاً مرسي از دقت همگي، ثانياً منظور از ٤ برابر نسبت توليد و كاركنان هست
300,ozr khahi pazirofteh mishe.,عذر خواهي پذيرفته ميشه
628,zaheran mibayesti ke pish az ghatl nazaei shode bashad zira alaf ha va saghe ha ye khezaran atraaf e hame shekaste va khord shode bood.,ظاهرا میبایستی که پیش از قتل نزاعی شده باشد زیرا علفها و ساقههای خیزران اطراف همه شکسته و خورد شده بود
438,sigar bekeshi mamnoo mikonam.,سيگار بکشي ممنوع ميکنم
1442,"hanooz chand satri naneveshte boodam ke, yeki az rofaghaaye zendaan jelom sabz shod, kenaare takht neshast.",هنوز چند سطری ننوشته بودم که، یکی از رفقای زندان جلوم سبز شد، کنار تخت نشست
679,daaram migam daaram migam,دارم ميگم! دارم ميگم
749,baaes eftekhaar ast to movafagh shodim,باعث افتخاره تو موفق شدی
342,"bazi ha bedoun e tazeen boudand, vali bazi ha ham tarh ha ye zarifi dashtand.",بعضی ها بدون تزیین بودند،اما بعضی ها هم طرحهای ظریفی داشتند
638,vaghti tamaam shod barashgardaan.,وقتي تموم شد برش گردون
1824,in harf azash baid bood vaaghean.,این حرف ازش بعید بودواقعا
874,nemigozari begooyam baabaa yek sedaayi az aan too aamad khodam shenidam,نمیزارین بگم. بابا. یه صدایی از اون تو اومد. خودم شنیدم.
1658,"baa chizaayi ke migam movaafeghin, na?",با چیزایی که میگم موافقین، نه؟
114,man hamchenin be onvan yek rishsefid modern daryaftam ke naghsham in bood ke dar manzar aam karamoozi konam va dar khafa morabbigari.,من همچنین به عنوان یک ریشسفید مدرن دریافتم که نقشم این بود که در منظر عام کارآموزی کنم و در خفا مربیگری
23,dastat ra ghalam mikonam agar dast be un cake bezani.,دستتو قلم می کنم اگه دست به اون کیک بزنی.
46,chetouri akhe beranko ba dast khali timash ra board final.,چه جوري آخه برانكو با دست خالي تيمشو بٌرد فينال ؟
1055,oon chizi ke shoma baahaash saro kaar daarin ghalame hastesh na ghalam.,اون چیزی که شما باهاش سر و کار دارین قلمه هستش نه قلم.
526,chand bari vasvase shodam bargardam.,چند باری وسوسه شدم برگردم
1749,ke tooye filme vaaghei baashi.,که توی فیلم واقعی باشی
1078,dore maa injoori nabood baavaret mishe alaan daraamad aazaade az manam bishare.,دوره ما اینجوری نبود باورت می شه الان درامد ازاده از منم بیشتره
524,chera cheshm haam bargh nemizanand?,چرا چشمام برق نمي زنه؟
1700,bemoonam ke yek sag oonjaast.,بمونم که یک سگ اونجاست
798,vali midaani chi baahaal ast?,ولي ميدوني چي باحاله؟
191,nabayad in kar rou mikardi.,نبايد اين کارو مي کردي
746,nafahmidam hamash in haminghadr mitavaani?,نفهمیدم همش همینقد می تونی؟
1376,"sobhe panj shanbe bar khalaafe roozaye dige, bade bidaar shodan, az takht boland nashodam.",صبح پنجشنبه برخلاف روزای دیگه،بعد بیدار شدن، از تخت بلند نشدم
635,az apartemaan khabari nashod?,از آپارتمان خبري نشد ؟
720,in dard sarmsaam aavari ast,این عدد سرسام آوری است
415,omadin hasan ra nejat dehid.,اومدین حسن رو نجات بدین؟
471,ma mard ha ye aali naboudim.,.ما مردهاي عالي نبوديم
651,"emkan nadaarad, magar momken ast? ba aghl va mentefg joor dar nemiaayad.",امکان نداره؟ مگه ممکنه؟ با عقل و منطق جور در نمیاد.
166,man ba oon biroon nemiram.,من با اون بيرون نمي رم
1762,doktor bezaarid eshaagh doost daare emshab injaa bemaane.,دکتر بذارید اسحاق دوست داره امشب اینجا بمانه
1484,"do del baraaye raftan, dast be shekamash mizanad fekr konam beshe felan tahamolesh kard.",دو دل برای رفتن، دست به شکمش می زند فکر کنم بشه فعلاً تحملش کرد.
182,man in ro az yeki az ketab haye tou ye ketab khaneh kandam.,مسلما اونکارو مي کنيم
1169,haapooye baa namakie hamash delesh mikhaad naazesh koni.,هاپوی بانمکیه همش دلش میخواد نازش کنی.
226,zahere mahsoul ma chetourie?,ظاهر محصول ما چطوريه؟
989,chehre aksar gharib be etefagh asaatid paaye dar daaneshgaah,چهره ی اکثریت قریب به اتفاق اساتید فیزیک پایه در دانشگاه
670,soraagh maadaraan shahrestani ham raftam,سراغ مادران شهرستانی هم رفتم
843,haalaa har chi hanooz yaadam narafte haa,حالا هر چی هنوز یادم نرفته ها.
1104,salaam man dokhtari hastam az jonoob az khoozestaan.,سلام من دختری هستم از جنوبم از خوزستان
685,na maadaram too otaaghesh ast,نه مادرم توی اتاقشه
458,"tou kelaseman faza ye kheily khobi boud, taghriban hame baham rahat boodim.",تو کلاسمون فضای خیلی خوبی بود تقریبا همه با هم راحت بودیم
367,hanouz kasi be dast nagerfte ast.,هنوز کسي به دست نگرفته
553,vali feshar e ziadi room bood.,ولي فشار زيادي روم بود
1161,moarefi mikonam:,معرفی میکنم:
643,mitavaani bahash tanhaa basi.,ميتوني باهاش تنها باشي
1497,oon moghe tanhaa raahe aavardanash az etyopi bood.,اون موقع تنها راه اوردنش از اتیوپی بود
1785,faghat sahaame khod raa forookhtand.,فقط سهام خود را فروختند
1004,na aaghaa moshkel ast ke aadam aanjaa daakhel shavad digar asb jaaye khod raa daarad.,نه اقا، مشکل است که ادم انجا داخل شود دیگر اسب جای خود را دارد
1522,shaayad taa haalaa nashnidi ke.,شاید تا حالا نشنیدی که
1838,in khoone mard daare. sarvar daare.,این خونه مرد داره. سرور داره.
1030,raftim birron va too khiyaaboon jashn bood.,رفتیم بیرون و تو خیابون جشن بود!
359,"mirim paeein, yek istgah e otobus peyda mikonim.",می ریم پایین، یه ایستگاه اتوبوس پیدا می کنیم
1446,ann haa baayad ertebaate roshani beyne amalkarde aatefi va amalkarde maaliye khod eraae dahand.,آنها باید ارتباط روشنی بین عملکرد عاطفی و عملکرد مالی خود ارائه دهند
705,man mikhaaham baa to beraghsam,من ميخوام با تو برقصم
313,midanam che kaar micard.,.مي دونم چه کار مي کرد
974,migoftand barkhi az ide haayam mardood va naa kaar aamad ast,میگفتند برخی از ایدههایم مردود و ناکارآمد است
1468,javaabesho daadam goftam tooye jalase hastam. badan zang bezane.,جوابشو دادم گفتم توی جلسه هستم. بعداً زنگ بزنه.
